"TID","RID","t_transitE","r_transitE","t_transitM","r_transitM","t_transitCV","r_transitCV"
"g37119005837",30,0.02472597501911802,0.018791166214645487,0.02562738340366845,0.019660482089083466,0.6300643944009735,0.6360254977209842
"g37119005840",30,0.0,0.018791166214645487,0.010492332526230832,0.019660482089083466,"inf",0.6360254977209842
"g37159051201",31,0.0003824091778202677,0.017489955093358545,0.0015290364844700267,0.016497911095885057,2.430656782303416,0.5734220146774803
"g37159051204",31,0.04517326732673267,0.017489955093358545,0.04280286887002913,0.016497911095885057,0.576003964641438,0.5734220146774803
"g37071030101",32,0.0,0.003929974991068239,0.008558262014483212,0.008218530495301288,"inf",1.2712720009034708
"g37109071002",32,0.00859375,0.003929974991068239,0.014791693193508145,0.008218530495301288,1.0463314334175422,1.2712720009034708
"g37179020202",33,0.0,0.0,0.0053859964093357264,0.0053859964093357264,"inf","inf"
"g45057010700",34,0.0008718395815170009,0.0020331106593087424,0.0017328728396646888,0.004974944899786971,1.2082706061370199,1.4875150056419053
"g45057010900",34,0.004301075268817204,0.0020331106593087424,0.007865750415479149,0.004974944899786971,1.111724602795685,1.4875150056419053
"g45057010800",34,0.0,0.0020331106593087424,0.014428412874583794,0.004974944899786971,"inf",1.4875150056419053
"g37159051600",35,0.006469186244467144,0.004438215370240598,0.01120101051033632,0.008272455844588083,1.0525473642251726,1.1330789784252626
"g37159051502",35,0.0,0.004438215370240598,0.009672619047619048,0.008272455844588083,"inf",1.1330789784252626
"g45091061104",36,0.008068854222700376,0.004263786242183059,0.01340598020047159,0.007999177065837406,1.0099986704225608,1.140470310744316
"g45091061101",36,0.0,0.004263786242183059,0.007836045810729355,0.007999177065837406,"inf",1.140470310744316
"g37179020315",37,0.0,0.0033452807646356035,0.005985267034990792,0.006727655604459284,"inf",1.2225461877838515
"g37179020316",37,0.006954793840039742,0.0033452807646356035,0.012386995792187327,0.006727655604459284,1.0827191719354359,1.2225461877838515
"g37159051501",38,0.010505581089954037,0.011350737797956867,0.016312873046576595,0.013226107322179386,0.9439401842680911,0.7083404590176315
"g37025041000",38,0.0,0.011350737797956867,0.008155867693701857,0.013226107322179386,"inf",0.7083404590176315
"g37025040800",38,0.028277634961439587,0.011350737797956867,0.040224439358444344,0.013226107322179386,0.864730970457853,0.7083404590176315
"g37119005844",39,0.030313236780060628,0.02325991189427313,0.024055074838750926,0.014739238320727797,0.48240133195711915,0.3852131227324779
"g37179021006",39,0.015521064301552107,0.02325991189427313,0.016120315983753946,0.014739238320727797,0.6313732096112054,0.3852131227324779
"g45023021000",40,0.0,0.0,0.022927689594356263,0.006822954298736997,"inf","inf"
"g45023020900",40,0.0,0.0,0.012795275590551181,0.006822954298736997,"inf","inf"
"g45057010300",40,0.0,0.0,0.008226691042047532,0.006822954298736997,"inf","inf"
"g37119006208",41,0.006514657980456026,0.013537227375282025,0.012172883973608637,0.010396324844419038,1.1358891732212313,0.46685736580420517
"g37119006203",41,0.01666063020644694,0.013537227375282025,0.013987666252156278,0.010396324844419038,0.5103732856112526,0.46685736580420517
"g37119006210",42,0.024436990896023,0.024436990896023,0.02335565235937532,0.02335565235937532,0.5810029974851455,0.5810029974851455
"g37097061602",43,0.017286366601435094,0.010313290523448142,0.017476141621867135,0.010767271717427827,0.6145764777501249,0.634662033100437
"g37097061503",43,0.0,0.010313290523448142,0.006271104679208876,0.010767271717427827,"inf",0.634662033100437
"g37097061302",44,0.0,0.0,0.00819672131147541,0.006455464592429874,"inf","inf"
"g37097061301",44,0.0,0.0,0.014656144306651636,0.006455464592429874,"inf","inf"
"g37097060701",44,0.0,0.0,0.012807881773399015,0.006455464592429874,"inf","inf"
"g37179021007",45,0.022812111157196183,0.03730218538055765,0.03353147044160954,0.02192136237656074,0.8935548520002278,0.35724599028210496
"g37119005838",45,0.049361408353469104,0.03730218538055765,0.02869598728784216,0.02192136237656074,0.35340096147630556,0.35724599028210496
"g37025041200",46,0.0,0.0,0.006557377049180327,0.0046705097415175685,"inf","inf"
"g37159051801",46,0.0,0.0,0.006470881035340965,0.0046705097415175685,"inf","inf"
"g37119005715",47,0.0,0.006469500924214418,0.009352517985611512,0.01060806202871301,"inf",0.9967801228890558
"g37179020203",47,0.011314655172413793,0.006469500924214418,0.01714148706164,0.01060806202871301,0.9209610648835964,0.9967801228890558
"g45091061401",48,0.0,0.0,0.00871313672922252,0.00871313672922252,"inf","inf"
"g37097061304",49,0.01395139513951395,0.011025726695623121,0.018817592022868545,0.00918216500630491,0.8199370423534446,0.5062580798355087
"g37097061403",49,0.005154639175257732,0.011025726695623121,0.008970114292859427,0.00918216500630491,1.0578736612855495,0.5062580798355087
"g37097061402",49,0.012206148282097649,0.011025726695623121,0.014850539368435568,0.00918216500630491,0.7396013302483277,0.5062580798355087
"g37119003300",50,0.036443953616786304,0.031107424305267525,0.02617209414314141,0.010761583262183261,0.4365631619529252,0.2103033616626046
"g37119003103",50,0.03962072468675923,0.031107424305267525,0.023702575115921824,0.010761583262183261,0.3636697805695433,0.2103033616626046
"g37119003204",50,0.03156708004509583,0.031107424305267525,0.024033509618976354,0.010761583262183261,0.46282507668328327,0.2103033616626046
"g37119003400",50,0.019639407598197038,0.031107424305267525,0.013396442349405584,0.010761583262183261,0.4146629123250161,0.2103033616626046
"g37119004302",51,0.05429553264604811,0.09979509751840328,0.0386824309693472,0.019611916741868695,0.4330955873987163,0.11946616751192289
"g37119004100",51,0.05455537370430987,0.09979509751840328,0.03255004651356855,0.019611916741868695,0.36270051829404953,0.11946616751192289
"g37119005100",51,0.0732484076433121,0.09979509751840328,0.05353001799506968,0.019611916741868695,0.4442559971045825,0.11946616751192289
"g37119004800",51,0.15766099185788304,0.09979509751840328,0.07726644317069732,0.019611916741868695,0.29792075780530586,0.11946616751192289
"g37119004700",51,0.09764918625678119,0.09979509751840328,0.07879339201306776,0.019611916741868695,0.4905183584737867,0.11946616751192289
"g37119004200",51,0.15301085883514315,0.09979509751840328,0.08924807099733893,0.019611916741868695,0.35457709940309573,0.11946616751192289
"g37119004305",51,0.07142857142857142,0.09979509751840328,0.04637274706201053,0.019611916741868695,0.39466167712349387,0.11946616751192289
"g37119004500",51,0.07658959537572255,0.09979509751840328,0.06368982981303296,0.019611916741868695,0.5055154238758824,0.11946616751192289
"g37119004600",51,0.16759776536312848,0.09979509751840328,0.09949732476920033,0.019611916741868695,0.3608920189196932,0.11946616751192289
"g37119003600",51,0.15013774104683195,0.09979509751840328,0.06196852385936239,0.019611916741868695,0.2509084984908234,0.11946616751192289
"g37119005000",51,0.09503239740820735,0.09979509751840328,0.11594111328385824,0.019611916741868695,0.7416514983479741,0.11946616751192289
"g37119005833",52,0.0,0.0,0.0067708333333333336,0.005263319871414325,"inf","inf"
"g37119005832",52,0.0,0.0,0.008264462809917356,0.005263319871414325,"inf","inf"
"g37071032703",53,0.010903426791277258,0.005853430110044486,0.020068355658511023,0.008077208332827197,1.1188783615079527,0.8388512289241328
"g37071032600",53,0.002807017543859649,0.005853430110044486,0.005602951243925753,0.008077208332827197,1.213405094619179,0.8388512289241328
"g37071032704",53,0.006352087114337568,0.005853430110044486,0.014048600126679923,0.008077208332827197,1.3444687225011962,0.8388512289241328
"g37025041702",54,0.017793594306049824,0.005988023952095809,0.021210489745230796,0.008366561658324449,0.7246380083173074,0.8493713051308103
"g37025040600",54,0.0,0.005988023952095809,0.006498194945848376,0.008366561658324449,"inf",0.8493713051308103
"g45091061201",55,0.0,0.00013873473917869035,0.005387608500448967,0.003108382477154082,"inf",13.620195073146885
"g45091060901",55,0.0004478280340349306,0.00013873473917869035,0.001341521116500656,0.003108382477154082,1.8210435581434437,13.620195073146885
"g45091060102",55,0.0,0.00013873473917869035,0.00795593635250918,0.003108382477154082,"inf",13.620195073146885
"g37179020602",56,0.0109628217349857,0.006229685807150596,0.018037542477924617,0.010859222452780912,1.0002052099560155,1.0596603487687888
"g37179020702",56,0.0,0.006229685807150596,0.008155583437892095,0.010859222452780912,"inf",1.0596603487687888
"g37159051002",57,0.008233841086867023,0.008233841086867023,0.010250306562137212,0.010250306562137212,0.7567779525663006,0.7567779525663006
"g37025041100",58,0.0,0.001630561378989052,0.005275498241500586,0.0047941547007201305,"inf",1.7873474711412523
"g37025040900",58,0.007945516458569807,0.001630561378989052,0.011267653700721329,0.0047941547007201305,0.8620758063686922,1.7873474711412523
"g37097060802",59,0.0,0.0,0.008580858085808581,0.0044997323138280185,"inf","inf"
"g37097060902",59,0.0,0.0,0.00785498489425982,0.0044997323138280185,"inf","inf"
"g37097061001",59,0.0,0.0,0.007088331515812432,0.0044997323138280185,"inf","inf"
"g37071032401",60,0.0,0.0,0.005603448275862069,0.005367817900978171,"inf","inf"
"g37071032301",60,0.0,0.0,0.011764705882352941,0.005367817900978171,"inf","inf"
"g37071030801",61,0.0,0.0,0.026694045174537984,0.008007306755596792,"inf","inf"
"g37071031600",61,0.0,0.0,0.007186290768380321,0.008007306755596792,"inf","inf"
"g37097061002",62,0.008835758835758836,0.004461942257217848,0.014497712822022796,0.00808982675738067,0.9974467895430666,1.1021719987706187
"g37097061003",62,0.0,0.004461942257217848,0.006892895015906681,0.00808982675738067,"inf",1.1021719987706187
"g37159050201",63,0.0,0.007249560632688928,0.009246088193456615,0.009052604265853605,"inf",0.7590946784225038
"g37159051102",63,0.017915309446254073,0.007249560632688928,0.01989872950232449,0.009052604265853605,0.6752041953261806,0.7590946784225038
"g37159050202",63,0.0,0.007249560632688928,0.009969325153374233,0.009052604265853605,"inf",0.7590946784225038
"g45091061404",64,0.0,0.0,0.008034610630407911,0.004348531788322467,"inf","inf"
"g45091060904",64,0.0,0.0,0.005160550458715597,0.004348531788322467,"inf","inf"
"g37071031401",65,0.0,0.005960729312762973,0.011839708561020037,0.00875879762950458,"inf",0.893262679754946
"g37071032000",65,0.02467343976777939,0.005960729312762973,0.02437969787175474,0.00875879762950458,0.6006655402695876,0.893262679754946
"g37071031402",65,0.0,0.005960729312762973,0.012206572769953052,0.00875879762950458,"inf",0.893262679754946
"g45091061004",66,0.0025340513145391194,0.0025340513145391194,0.003791496846754722,0.003791496846754722,0.9095558924927551,0.9095558924927551
"g37159050500",67,0.009623095429029671,0.020519159456118666,0.015942539965819142,0.014412780927444245,1.007109794193337,0.4269945351119637
"g37159050800",67,0.01437125748502994,0.020519159456118666,0.017777595273334973,0.014412780927444245,0.7519904788872697,0.4269945351119637
"g37159050700",67,0.0,0.020519159456118666,0.011981566820276499,0.014412780927444245,"inf",0.4269945351119637
"g37159050400",67,0.06719817767653759,0.020519159456118666,0.05381946666170788,0.014412780927444245,0.4868733370664007,0.4269945351119637
"g37071031202",68,0.007028112449799197,0.013956941351150704,0.014970227294822024,0.013801292572019364,1.2948629080019745,0.6011233620419738
"g37071031001",68,0.0,0.013956941351150704,0.009708737864077669,0.013801292572019364,"inf",0.6011233620419738
"g37071031302",68,0.016112789526686808,0.013956941351150704,0.01494961113964138,0.013801292572019364,0.5640183838018196,0.6011233620419738
"g37071032302",68,0.0,0.013956941351150704,0.011054421768707483,0.013801292572019364,"inf",0.6011233620419738
"g37071030302",68,0.0444264943457189,0.013956941351150704,0.06824032828503693,0.013801292572019364,0.9337554729690603,0.6011233620419738
"g45091061302",69,0.0,0.0,0.006256015399422522,0.006341764853691009,"inf","inf"
"g45023020700",69,0.0,0.0,0.015834348355663823,0.006341764853691009,"inf","inf"
"g37179020601",70,0.008214440121054907,0.012512820512820513,0.011607542174001525,0.011403371019676799,0.8590064005268125,0.5540030267668982
"g37179020401",70,0.01639344262295082,0.012512820512820513,0.01898411715918809,0.011403371019676799,0.7039703019516556,0.5540030267668982
"g45091061602",71,0.0,0.000164866870002473,0.008082622361921869,0.002817222716637257,"inf",10.387759506239076
"g45091061801",71,0.001358695652173913,0.000164866870002473,0.002697224962680173,0.002817222716637257,1.2067827188648068,10.387759506239076
"g45091061601",71,0.0,0.000164866870002473,0.01294820717131474,0.002817222716637257,"inf",10.387759506239076
"g37071033306",71,0.0014204545454545455,0.000164866870002473,0.00424444718194726,0.002817222716637257,1.8164685812102561,10.387759506239076
"g45091061706",71,0.0,0.000164866870002473,0.007030827474310438,0.002817222716637257,"inf",10.387759506239076
"g45091061802",71,0.0,0.000164866870002473,0.006256015399422522,0.002817222716637257,"inf",10.387759506239076
"g45091061501",71,0.0,0.000164866870002473,0.005094820266062836,0.002817222716637257,"inf",10.387759506239076
"g37179021008",72,0.004704301075268817,0.004704301075268817,0.007720666371134564,0.007720666371134564,0.9976857629394904,0.9976857629394904
"g37071032508",73,0.012422360248447204,0.005196492367651835,0.01857269746622508,0.008855196639077537,0.9088766845173974,1.0359099715698987
"g37071032200",73,0.0,0.005196492367651835,0.007258514796203238,0.008855196639077537,"inf",1.0359099715698987
"g37179020306",74,0.0,0.0022672064777327933,0.006477150053976251,0.0048556300789925465,"inf",1.3019329456265296
"g37179020307",74,0.004122497055359246,0.0022672064777327933,0.007056520376587024,0.0048556300789925465,1.0405533303903403,1.3019329456265296
"g45091061708",75,0.008803728638011392,0.008803728638011392,0.014989580456229085,0.014989580456229085,1.035039508706539,1.035039508706539
"g37071031701",76,0.008651766402307137,0.004696673189823875,0.014383719373253742,0.009323893898275768,1.0106493804814052,1.2068160542094524
"g37071031703",76,0.0,0.004696673189823875,0.01113013698630137,0.009323893898275768,"inf",1.2068160542094524
"g37119005611",77,0.0,0.003795066413662239,0.007665094339622642,0.006463985460352113,"inf",1.035416515989533
"g37025042604",77,0.006349206349206349,0.003795066413662239,0.009494564779154595,0.006463985460352113,0.9090540745999081,1.035416515989533
"g45091060402",78,0.0,0.0,0.020569620253164556,0.005860661243726029,"inf","inf"
"g45091060200",78,0.0,0.0,0.007606787595084845,0.005860661243726029,"inf","inf"
