"TID","RID","t_drvloneE","r_drvloneE","t_drvloneM","r_drvloneM","t_drvloneCV","r_drvloneCV"
"g37097061001",59,0.7846237731733915,0.8019584332533973,0.08900947544683552,0.049693743423750915,0.06896184574710838,0.0376689879612308
"g37071032401",60,0.9081896551724138,0.8852554744525547,0.048289039100900204,0.04251545609308681,0.032322586807641766,0.029195258101792097
"g37071032301",60,0.8371040723981901,0.8852554744525547,0.08639509279522373,0.04251545609308681,0.06273988501682229,0.029195258101792097
"g37071030801",61,0.9260780287474333,0.9211672473867596,0.392193539233274,0.04279960413608735,0.25744647639707025,0.028244595657435038
"g37071031600",61,0.9198452183526811,0.9211672473867596,0.0660354724085191,0.04279960413608735,0.04364119475793892,0.028244595657435038
"g37097061002",62,0.895010395010395,0.8942257217847769,0.0639857056098886,0.04755736862941039,0.04345992593380344,0.032329929436901064
"g37097061003",62,0.8934252386002121,0.8942257217847769,0.07049037163500942,0.04755736862941039,0.04796292727846375,0.032329929436901064
"g37159050202",63,0.8059815950920245,0.8580843585237259,0.07050592056744881,0.039540868582727554,0.05317831355863326,0.02801239987558317
"g37159050201",63,0.8357041251778093,0.8580843585237259,0.057382564094251576,0.039540868582727554,0.041740870525263,0.02801239987558317
"g37159051102",63,0.9120521172638436,0.8580843585237259,0.06665338099835451,0.039540868582727554,0.04442594000541649,0.02801239987558317
"g45091060904",64,0.8847477064220184,0.8858206032119076,0.04772690862942197,0.03421375863138058,0.03279275900368245,0.023479514238516037
"g45091061404",64,0.8881334981458591,0.8858206032119076,0.03225735860886485,0.03421375863138058,0.02207926689093638,0.023479514238516037
"g37071031401",65,0.8897996357012751,0.8783309957924264,0.05709076577110967,0.031319345523261925,0.0390038737881166,0.021676470386241018
"g37071032000",65,0.8606676342525399,0.8783309957924264,0.0724664987473462,0.031319345523261925,0.05118419825719671,0.021676470386241018
"g37071031402",65,0.8779342723004695,0.8783309957924264,0.03156185106957539,0.031319345523261925,0.021854182266207948,0.021676470386241018
"g45091061004",66,0.8248337028824834,0.8248337028824834,0.12146023181296339,0.12146023181296339,0.08951623451260987,0.08951623451260987
"g37159050500",67,0.7931034482758621,0.7473423980222497,0.09715072677462383,0.008011237398593355,0.07446467758594134,0.006516495173740959
"g37159050800",67,0.9101796407185628,0.7473423980222497,0.061956726850135736,0.008011237398593355,0.04138047266026503,0.006516495173740959
"g37159050400",67,0.47266514806378135,0.7473423980222497,0.24059777795754697,0.008011237398593355,0.30943691953964364,0.006516495173740959
"g37159050700",67,0.791705069124424,0.7473423980222497,0.07736301073410543,0.008011237398593355,0.05940240588406282,0.006516495173740959
"g37071030302",68,0.8610662358642972,0.8074239049740163,0.05939368257604442,0.03428160984415295,0.04193124827018197,0.025810338628023455
"g37071031202",68,0.6987951807228916,0.8074239049740163,0.1394313478034164,0.03428160984415295,0.12129548126699047,0.025810338628023455
"g37071031001",68,0.8820014936519791,0.8074239049740163,0.08230959328682044,0.03428160984415295,0.0567303199395971,0.025810338628023455
"g37071031302",68,0.7870090634441088,0.8074239049740163,0.05297736767595863,0.03428160984415295,0.040920858766441214,0.025810338628023455
"g37071032302",68,0.7925170068027211,0.8074239049740163,0.07700079208951335,0.03428160984415295,0.05906370683516685,0.025810338628023455
"g45023020700",69,0.8891595615103532,0.8889272162814764,0.052366078198712494,0.12215992570884378,0.03580176558366403,0.08354042001902216
"g45091061302",69,0.8888354186717998,0.8889272162814764,0.15100303933756612,0.12215992570884378,0.10327576822793634,0.08354042001902216
"g37179020601",70,0.7367055771725033,0.8201025641025641,0.06652066606562972,0.04334114697185029,0.0548904421599817,0.032126715559568565
"g37179020401",70,0.8953942232630757,0.8201025641025641,0.05474610360488005,0.04334114697185029,0.0371683279589421,0.032126715559568565
"g45091061706",71,0.8409951325040562,0.799934053251999,0.21291570276122385,0.01395018698414342,0.1539034331475104,0.01060131993980133
"g45091061802",71,0.8734359961501443,0.799934053251999,0.06525348678258014,0.01395018698414342,0.04541577550610885,0.01060131993980133
"g45091061501",71,0.7226153410699122,0.799934053251999,0.14763482828161698,0.01395018698414342,0.12419832637899099,0.01060131993980133
"g37071033306",71,0.8352272727272727,0.799934053251999,0.18050318544133848,0.01395018698414342,0.13137547562258575,0.01060131993980133
"g45091061602",71,0.7656039515042659,0.799934053251999,0.052851848217313833,0.01395018698414342,0.04196527858522953,0.01060131993980133
"g45091061801",71,0.8722826086956522,0.799934053251999,0.1373341018817856,0.01395018698414342,0.09570955030820688,0.01060131993980133
"g45091061601",71,0.8426294820717132,0.799934053251999,0.08134262415619796,0.01395018698414342,0.05868344841293032,0.01060131993980133
"g37179021008",72,0.7805779569892473,0.7805779569892473,0.04727499655603962,0.04727499655603962,0.03681707825950196,0.03681707825950196
"g37071032508",73,0.9277950310559007,0.9165313413445924,0.059875719577857506,0.03169572075558559,0.03923130918659585,0.02102264754489757
"g37071032200",73,0.9084310441094361,0.9165313413445924,0.03347044675197163,0.03169572075558559,0.022397711166908415,0.02102264754489757
"g37179020306",74,0.836272040302267,0.8422672064777328,0.0606918680447885,0.03977371950799212,0.044118122850882624,0.028706511076821362
"g37179020307",74,0.8471731448763251,0.8422672064777328,0.05262748788134948,0.03977371950799212,0.03776370160259871,0.028706511076821362
"g45091061708",75,0.8089073019161056,0.8089073019161056,0.052518579070716456,0.052518579070716456,0.039468289888481174,0.039468289888481174
"g37071031701",76,0.8449891852919971,0.8888454011741683,0.06935501227072945,0.04856576858877997,0.04989543347796183,0.03321529654178905
"g37071031703",76,0.9409246575342466,0.8888454011741683,0.05598306188168271,0.04856576858877997,0.03616894954396531,0.03321529654178905
"g37119005611",77,0.745872641509434,0.7926944971537002,0.03960518776761619,0.030493187531963492,0.03227910590428634,0.02338466103051666
"g37025042604",77,0.8242063492063492,0.7926944971537002,0.04496933540319119,0.030493187531963492,0.03316764307183812,0.02338466103051666
"g45091060200",78,0.743124634289058,0.7634044768349818,0.03726996633552316,0.03991725651596463,0.030488175797529656,0.031786307479884826
"g45091060300",78,0.7415056628914057,0.7634044768349818,0.08894090826563737,0.03991725651596463,0.07291572289178277,0.031786307479884826
"g45091060402",78,0.870253164556962,0.7634044768349818,0.08717757531695727,0.03991725651596463,0.06089663177708428,0.031786307479884826
"g37119002002",79,0.8971503439240092,0.8971503439240092,0.04743487558334982,0.04743487558334982,0.032141536614757896,0.032141536614757896
"g37071030502",80,0.9068441064638784,0.8858384808968199,0.0454969554050744,0.01884708719415677,0.03049887345946249,0.012933730143569803
