"TID","RID","t_avghmvalE","r_avghmvalE","t_avghmvalM","r_avghmvalM","t_avghmvalCV","r_avghmvalCV"
"g37119005828",84,257713.66691560866,346946.8023255814,42479.99097154811,25393.323784532004,0.10020307819655759,0.04449290464752696
"g37179020314",16,246381.45589798086,261622.5780448483,42386.89924252551,12832.051710119711,0.10458218905973447,0.029816384334082877
"g37119001919",89,123759.3423019432,146356.82158920538,42283.618749104004,27733.622084216066,0.2076960577597584,0.1151934330698099
"g37025041901",87,67568.156424581,119467.68786127168,42149.662689895624,20233.959978682455,0.3792155448375485,0.10295904978576885
"g37119003203",80,194217.08428246013,242939.1771019678,42116.801768606776,45952.91121402942,0.13182629686189667,0.1149872193003084
"g37119006215",67,191793.05331179322,215223.0994779375,42053.290735333074,12771.055738183471,0.13329111787926362,0.036072149030900426
"g37097061502",85,196428.0909990109,166966.8234661649,41920.64710717721,9755.682237854939,0.12973539539781806,0.03551906777977631
"g37119005917",48,183994.3502824859,171498.6346396966,41797.40480681132,18837.577581738842,0.13809530935300934,0.06677263039070074
"g37109070600",5,167417.93292265572,137662.12035731078,41536.88550935686,10213.531450121045,0.15082247096875678,0.045101976434511165
"g37119001510",30,129966.26180836707,128875.23277467412,41497.07857755098,10011.113242829506,0.19409796999726694,0.04722228620126358
"g37071030101",67,211736.1266294227,215223.0994779375,41162.041287386935,12771.055738183471,0.11817783718942441,0.036072149030900426
"g37119005907",27,242562.2418879056,278176.98995783157,41115.201597300744,20217.465259313994,0.10304177323585831,0.04418141284487982
"g37119001609",36,123241.96642685852,139417.35184196476,41106.6245203394,24221.482915803106,0.20276233997351373,0.1056131502238191
"g37071032507",27,210969.66604823747,278176.98995783157,40867.39331293864,20217.465259313994,0.11775816237276454,0.04418141284487982
"g37071031401",26,94046.13333333333,93151.86408683342,40847.12452271766,15418.589779340398,0.2640308310093314,0.10062066924003651
"g45057010900",58,192129.3203883495,128822.78630460448,40786.73187646022,19040.453409646852,0.12905040122054237,0.08985012703189235
"g45091061003",27,298681.8396226415,278176.98995783157,40619.71267499192,20217.465259313994,0.08267270110589874,0.04418141284487982
"g37179020100",66,209033.04812834226,183747.37978327126,40606.34645752904,9182.186732882843,0.11808998296559733,0.03037799200155787
"g37119004700",72,94474.6835443038,83899.8742665549,40601.099033473365,12016.2186193928,0.2612500856667104,0.08706439948451179
"g37025040900",52,148386.55097613882,208236.95740365112,40561.531332721795,34107.904289346145,0.16617048980215837,0.09957064576966118
"g37025042602",11,156190.11082693946,213622.03894332136,40547.82145356342,9102.921853819611,0.1578149311259844,0.02590412077292777
"g37097061301",1,90686.69871794872,151148.18210559594,40498.235490359264,28071.575965669366,0.27147297771424367,0.11290104573770997
"g37119005521",78,195271.24563445867,164697.1090670171,40288.65611688981,0.0,0.1254234036660674,0.0
"g37119005844",7,305425.3880266075,248748.89682585403,40202.429174847,15519.489053538315,0.0800168146778632,0.03792716257463497
"g37025041702",66,194346.8,183747.37978327126,40035.719628667226,9182.186732882843,0.12522883568174253,0.03037799200155787
"g37109071102",43,250728.79105520615,178649.7228870135,39981.36401636306,11163.733362276254,0.09693653630590879,0.03798754311143287
"g37109070700",5,151460.33578174186,137662.12035731078,39977.187698512134,10213.531450121045,0.1604528448757277,0.045101976434511165
"g37119006105",8,168323.5824742268,162024.65897166842,39966.232932010804,12084.014077370293,0.14433855299633916,0.04533819272220389
