"TID","RID","t_vehiclppE","r_vehiclppE","t_vehiclppM","r_vehiclppM","t_vehiclppCV","r_vehiclppCV"
"g45023020900",40,0.7221605623381429,0.6413838988689288,0.12325703955438573,0.06256801332380169,0.10375572335302724,0.059301872911547586
"g37119006203",41,0.9124335812964931,0.837849340331962,0.1318306144465285,0.09608700688333911,0.08783126004528706,0.0697160593493256
"g37119006208",41,0.6881399317406144,0.837849340331962,0.1234978119678991,0.09608700688333911,0.10909795271050204,0.0697160593493256
"g37119006210",42,0.7478305257784584,0.7478305257784584,0.07749856849735784,0.07749856849735784,0.06299768486003672,0.06299768486003672
"g37097061602",43,0.8257438763767878,0.788361320208454,0.1164220502587897,0.08256990929313779,0.08570851671662542,0.06366937652542129
"g37097061503",43,0.7352185089974294,0.788361320208454,0.11203968396701836,0.08256990929313779,0.09263807907660454,0.06366937652542129
"g37097060701",44,0.7802066772655007,0.7843561425481043,0.17851646984098984,0.09463420257016382,0.13909218354758487,0.0733447314293611
"g37097061302",44,0.8490939977349944,0.7843561425481043,0.1351813000306237,0.09463420257016382,0.09678207866820103,0.0733447314293611
"g37097061301",44,0.7045703839122486,0.7843561425481043,0.18329588998499655,0.09463420257016382,0.15814753995263772,0.0733447314293611
"g37179021007",45,0.6354046480962584,0.6912982859017469,0.06707154282655435,0.06391970668218584,0.06416851762858093,0.056208680595461386
"g37119005838",45,0.7466536075742736,0.6912982859017469,0.10903770787471122,0.06391970668218584,0.08877519672318375,0.056208680595461386
"g37159051801",46,0.8552272727272727,0.839110140033767,0.11729173726381491,0.07415746849884026,0.0833719529478413,0.05372420831549804
"g37025041200",46,0.8266008114305874,0.839110140033767,0.09532603191460155,0.07415746849884026,0.07010512785596573,0.05372420831549804
"g37179020203",47,0.7982456140350878,0.8258999681427206,0.10712248987770616,0.09801529520796792,0.08157896954513179,0.0721440469574817
"g37119005715",47,0.8672496025437202,0.8258999681427206,0.18625420049392089,0.09801529520796792,0.13055576809505376,0.0721440469574817
"g45091061401",48,0.770949720670391,0.770949720670391,0.11260785939333519,0.11260785939333519,0.08879259429719837,0.08879259429719837
"g37097061402",49,0.7124156269175701,0.7527121643456183,0.10354554814268808,0.06881339339657734,0.08835519546867276,0.05557482935787536
"g37097061304",49,0.793110603859722,0.7527121643456183,0.1305281905491578,0.06881339339657734,0.10004713556555335,0.05557482935787536
"g37097061403",49,0.7534204925509274,0.7527121643456183,0.1177270606534268,0.06881339339657734,0.0949889244167202,0.05557482935787536
