"TID","RID","t_avgroomsE","r_avgroomsE","t_avgroomsM","r_avgroomsM","t_avgroomsCV","r_avgroomsCV"
"g37071033304",23,7.111176470588235,6.290685634538334,0.5819679878449764,0.15355191666549708,0.04974984565266873,0.01483854632304194
"g45091061301",23,6.0282722513089,6.290685634538334,0.3944554729494321,0.15355191666549708,0.03977765951287611,0.01483854632304194
"g45091061707",23,6.52159375870716,6.290685634538334,0.38496287505728705,0.15355191666549708,0.035883864204943765,0.01483854632304194
"g37109070300",24,5.852941176470588,5.4323106257583635,0.5083801508215172,0.3118087093580133,0.05280177522240865,0.034892954480935635
"g37109070201",24,4.998789346246974,5.4323106257583635,0.5479732467946143,0.3118087093580133,0.06663902250482008,0.034892954480935635
"g37109070100",24,5.432767894083574,5.4323106257583635,0.5296690617576734,0.3118087093580133,0.05926762892555456,0.034892954480935635
"g45057011002",25,5.706539074960127,5.305177563889811,0.45560685022756886,0.29295485482400835,0.04853461037523904,0.03356872705938198
"g45057010700",25,4.645351961311123,5.305177563889811,0.5899469586401838,0.29295485482400835,0.07720198016875592,0.03356872705938198
"g45057010600",25,5.512259194395797,5.305177563889811,0.45350135903386424,0.29295485482400835,0.050013017714804577,0.03356872705938198
"g37071031401",26,4.337511190689346,4.698822759973839,0.5650300621175729,0.21071842140703093,0.07918903383431405,0.027261361270715156
"g37071031800",26,5.051587301587301,4.698822759973839,0.4298698117413505,0.21071842140703093,0.051730083811698344,0.027261361270715156
"g37071031900",26,4.794732765298218,4.698822759973839,0.4366221911529578,0.21071842140703093,0.05535737597934393,0.027261361270715156
"g37071032100",26,4.489015459723352,4.698822759973839,0.45811706453397527,0.21071842140703093,0.06203823961772269,0.027261361270715156
"g37071032000",26,4.703205791106515,4.698822759973839,0.4813697385679904,0.21071842140703093,0.06221840886608319,0.027261361270715156
"g45091061708",27,7.9529103989535646,7.316988248948208,0.7374486521311361,0.19384129455228744,0.0563689304265571,0.01610452951598134
"g37071033303",27,7.524010109519798,7.316988248948208,0.7720101250087427,0.19384129455228744,0.06237459280933475,0.01610452951598134
"g37071032507",27,6.970903522205207,7.316988248948208,0.6874034117579889,0.19384129455228744,0.059945516834574435,0.01610452951598134
"g45091060904",27,6.684232715008432,7.316988248948208,0.4630074204044205,0.19384129455228744,0.04210856944246004,0.01610452951598134
"g37071032508",27,7.004699248120301,7.316988248948208,1.0816603315020519,0.19384129455228744,0.0938718781746102,0.01610452951598134
"g45091061006",27,8.082437275985663,7.316988248948208,0.8873896505556,0.19384129455228744,0.06674306000310351,0.01610452951598134
"g45091060906",27,6.843768285547103,7.316988248948208,0.43180713944104243,0.19384129455228744,0.03835558574592522,0.01610452951598134
"g37071032402",27,7.251786695986806,7.316988248948208,0.8013275651630773,0.19384129455228744,0.06717368275789207,0.01610452951598134
"g37119005918",27,6.5580204778157,7.316988248948208,0.6384940270322966,0.19384129455228744,0.05918588802613931,0.01610452951598134
"g37119005911",27,8.831626848691695,7.316988248948208,1.3249197108917348,0.19384129455228744,0.09119750307054975,0.01610452951598134
"g45091061404",27,7.037114845938375,7.316988248948208,0.6135998089313827,0.19384129455228744,0.0530059563551373,0.01610452951598134
"g37119005908",27,8.726346433770015,7.316988248948208,1.7049292881744784,0.19384129455228744,0.11877034519403115,0.01610452951598134
"g45091061003",27,7.410867757138897,7.316988248948208,0.6376389354724173,0.19384129455228744,0.052304597231724266,0.01610452951598134
"g37071032502",27,7.038931297709924,7.316988248948208,0.7022730414349806,0.19384129455228744,0.060650357979610076,0.01610452951598134
"g37119005907",27,7.775303643724697,7.316988248948208,0.852596682584818,0.19384129455228744,0.06665924308859222,0.01610452951598134
"g37119005909",27,6.865343116098403,7.316988248948208,0.7080618143427078,0.19384129455228744,0.06269646055662267,0.01610452951598134
"g37119001923",28,5.116524028966425,5.036613651424784,0.4355041089100401,0.19151043023013295,0.05174296801035836,0.02311468031554878
"g37119001912",28,4.626860505365178,5.036613651424784,0.25987968802987566,0.19151043023013295,0.03414444267062949,0.02311468031554878
"g37119001916",28,5.6891891891891895,5.036613651424784,0.3695720282291969,0.19151043023013295,0.03948960730199564,0.02311468031554878
"g37119006211",29,8.032972440944881,6.809569747250627,0.5926637500211064,0.22629486526555712,0.04485038602523443,0.020201756167367066
"g37119006406",29,6.124274099883856,6.809569747250627,0.49214692659010134,0.22629486526555712,0.04885108963009669,0.020201756167367066
"g37119006203",29,6.407326007326008,6.809569747250627,0.5557777421735358,0.22629486526555712,0.052730079512988054,0.020201756167367066
"g37119006208",29,5.717889908256881,6.809569747250627,0.7217273985515594,0.22629486526555712,0.07673111356624808,0.020201756167367066
"g37119006204",29,7.380992196209587,6.809569747250627,0.517570266671591,0.22629486526555712,0.04262738295766657,0.020201756167367066
"g37119006403",29,6.3619047619047615,6.809569747250627,0.8131356989368761,0.22629486526555712,0.07769802193943905,0.020201756167367066
"g37119006210",29,7.176625082074852,6.809569747250627,0.4524433589773005,0.22629486526555712,0.038324637620582414,0.020201756167367066
"g37119005617",30,6.2892347600518805,5.840306151809863,0.6204844030375352,0.14349671857205187,0.05997457248314785,0.014936211475340685
"g37119001510",30,6.021143304620203,5.840306151809863,0.49271553112992633,0.14349671857205187,0.04974522346911851,0.014936211475340685
"g37119005616",30,6.457463884430177,5.840306151809863,0.9674095667865656,0.14349671857205187,0.09107149998572499,0.014936211475340685
"g37119001505",30,6.038950715421303,5.840306151809863,0.6429185451891032,0.14349671857205187,0.06471851829592723,0.014936211475340685
"g37119001922",30,5.951145958986731,5.840306151809863,0.2758233900670645,0.14349671857205187,0.02817504301010078,0.014936211475340685
"g37119001911",30,6.001498501498501,5.840306151809863,0.4119558798221002,0.14349671857205187,0.041727762859943035,0.014936211475340685
"g37119001509",30,5.61550759392486,5.840306151809863,0.36381445523468664,0.14349671857205187,0.03938447217372545,0.014936211475340685
"g37119005716",30,5.745634458672876,5.840306151809863,0.29832796148310936,0.14349671857205187,0.03156385690470793,0.014936211475340685
"g37119001917",30,5.4164345403899725,5.840306151809863,0.3714655831787782,0.14349671857205187,0.04169069938863691,0.014936211475340685
"g37119005710",30,4.964247020585049,5.840306151809863,0.3615882968843604,0.14349671857205187,0.04427872221342728,0.014936211475340685
"g37119001921",30,6.003480278422273,5.840306151809863,0.3973254953130454,0.14349671857205187,0.040232539178578934,0.014936211475340685
"g37119005620",30,6.143551401869159,5.840306151809863,0.5868045336739826,0.14349671857205187,0.05806414855619968,0.014936211475340685
"g45091060401",31,4.997759522031367,5.26312625250501,0.45072146900675397,0.26507790314344903,0.054823528978941743,0.030617084737674233
"g45091060300",31,5.27536231884058,5.26312625250501,0.39674912331556667,0.26507790314344903,0.04571911137441815,0.030617084737674233
"g45091060502",31,5.164327002477291,5.26312625250501,0.6537413891493858,0.26507790314344903,0.0769531399974442,0.030617084737674233
"g45091060402",31,5.964396284829721,5.26312625250501,0.7693000618248943,0.26507790314344903,0.0784085412367865,0.030617084737674233
"g45091061201",32,5.463076923076923,6.037063035237962,0.429055274584197,0.2982937636497538,0.04774303543583819,0.030036723795234466
"g45091061101",32,5.546814404432133,6.037063035237962,0.5368018569091318,0.2982937636497538,0.0588307618530094,0.030036723795234466
"g45091061103",32,7.367021276595745,6.037063035237962,0.6063899833717636,0.2982937636497538,0.05003733746234254,0.030036723795234466
"g37119002800",33,8.792465753424658,7.0869611837872615,0.641393969655728,0.22785777565494417,0.04434537019095225,0.019545100015033706
"g37119002903",33,6.793448084397557,7.0869611837872615,0.4807646605294699,0.22785777565494417,0.043020591114661846,0.019545100015033706
"g37119003400",33,5.640752864157119,7.0869611837872615,0.34613032341477495,0.22785777565494417,0.03730239128218752,0.019545100015033706
"g37119002905",33,7.677307425399029,7.0869611837872615,0.7597267783542737,0.22785777565494417,0.06015650556256051,0.019545100015033706
"g37119002702",33,7.418348623853211,7.0869611837872615,0.4895033014193141,0.22785777565494417,0.04011275434572663,0.019545100015033706
"g37119005848",34,9.475360576923077,9.475360576923077,0.4678002833957032,0.4678002833957032,0.030012269154765746,0.030012269154765746
"g37025041303",35,7.683804627249358,7.395652041159049,0.6153996879222757,0.17103849828003487,0.04868722877537094,0.014058905207039419
"g37097061402",35,6.8894813378574895,7.395652041159049,0.5956236323034892,0.17103849828003487,0.05255565951724483,0.014058905207039419
"g37097061205",35,6.95045045045045,7.395652041159049,0.6350788126298099,0.17103849828003487,0.05554548590016992,0.014058905207039419
"g37097061204",35,7.29894578313253,7.395652041159049,0.9754201173301087,0.17103849828003487,0.08123920566964374,0.014058905207039419
"g37109071101",35,5.597648047039059,7.395652041159049,0.5277001271728097,0.17103849828003487,0.05730806012975676,0.014058905207039419
"g37097061405",35,7.425793907971484,7.395652041159049,0.5130164927485962,0.17103849828003487,0.04199741242423546,0.014058905207039419
"g37097061401",35,8.049716803020768,7.395652041159049,0.9204539261723975,0.17103849828003487,0.06951132236966291,0.014058905207039419
